geometry,job_onsite,job_hybrid,job_uncertain,job_total,job_weighted,x,y,housing_density_2025,absolute_growth,vehicle_count_250m,hub_distance,is_covered_by_hub,pt_line_distance,bike_combined_distance,bike_direct_distance,bike_regional_distance,has_multimodal_access,shared_mobility_distance
"POLYGON ((115223.83638122161 460317.1657, 115296.00516487031 460442.1657, 115440.34273216772 460442.1657, 115512.51151581641 460317.1657, 115440.34273216772 460192.1657, 115296.00516487031 460192.1657, 115223.83638122161 460317.1657))",1,1,4,6,2.8,115368.173948519,460317.16570000007,,,1,6824.878468988085,False,94.36787958208342,2518.1059159240895,7709.482485519955,2518.1059159240895,False,6356.724429652103
"POLYGON ((115223.83638122161 460067.1657, 115296.00516487031 460192.1657, 115440.34273216772 460192.1657, 115512.51151581641 460067.1657, 115440.34273216772 459942.1657, 115296.00516487031 459942.1657, 115223.83638122161 460067.1657))",2,1,14,17,6.800000000000001,115368.173948519,460067.16570000007,,,1,6632.012007412013,False,107.82883491164802,2366.7795289827627,7546.392942627551,2366.7795289827627,False,6169.420204787912
"POLYGON ((115223.83638122161 447817.1657, 115296.00516487031 447942.1657, 115440.34273216772 447942.1657, 115512.51151581641 447817.1657, 115440.34273216772 447692.1657, 115296.00516487031 447692.1657, 115223.83638122161 447817.1657))",5,1,3,9,6.5,115368.173948519,447817.16570000007,,,1,4225.773935038494,False,538.1917622101703,302.3803862927967,9389.218960836784,302.3803862927967,False,3447.2461917146907
"POLYGON ((115223.83638122161 447567.1657, 115296.00516487031 447692.1657, 115440.34273216772 447692.1657, 115512.51151581641 447567.1657, 115440.34273216772 447442.1657, 115296.00516487031 447442.1657, 115223.83638122161 447567.1657))",11,1,1,13,11.9,115368.173948519,447567.16570000007,,,1,4241.901260054349,False,288.81228164472776,52.42369724188976,9587.458419442399,52.42369724188976,False,3266.5976176890745
"POLYGON ((115440.34273216773 458692.1657, 115512.51151581643 458817.1657, 115656.84908311383 458817.1657, 115729.01786676253 458692.1657, 115656.84908311383 458567.1657, 115512.51151581643 458567.1657, 115440.34273216773 458692.1657))",2,2,5,9,4.7,115584.68029946517,458692.1657,,,1,5817.532456292299,False,1094.2519954432698,1725.248629166681,6560.628942952133,1725.248629166681,False,4933.248139479169
"POLYGON ((115656.84908311383 469317.1657, 115729.01786676253 469442.1657, 115873.35543405994 469442.1657, 115945.52421770863 469317.1657, 115873.35543405994 469192.1657, 115729.01786676253 469192.1657, 115656.84908311383 469317.1657))",1,1,2,4,2.2,115801.18665041123,469317.16570000007,,,1,3767.696261450006,False,7.4650307801231,2336.6881778305265,14905.553154923344,2336.6881778305265,False,3073.0695565437895
"POLYGON ((115656.84908311383 469067.1657, 115729.01786676253 469192.1657, 115873.35543405994 469192.1657, 115945.52421770863 469067.1657, 115873.35543405994 468942.1657, 115729.01786676253 468942.1657, 115656.84908311383 469067.1657))",4,1,1,6,4.8999999999999995,115801.18665041123,469067.1657,,,1,3752.763544182382,False,28.952162411878607,2396.0692491888126,14683.412450934002,2396.0692491888126,False,3298.7143394233804
"POLYGON ((115656.84908311383 468817.1657, 115729.01786676253 468942.1657, 115873.35543405994 468942.1657, 115945.52421770863 468817.1657, 115873.35543405994 468692.1657, 115729.01786676253 468692.1657, 115656.84908311383 468817.1657))",3,1,1,5,3.9,115801.18665041123,468817.1657,,,1,3754.4551293821996,False,81.03255475357952,2455.450320547084,14462.181286176843,2455.450320547084,False,3527.6445522300423
"POLYGON ((115656.84908311383 468567.1657, 115729.01786676253 468692.1657, 115873.35543405994 468692.1657, 115945.52421770863 468567.1657, 115873.35543405994 468442.1657, 115729.01786676253 468442.1657, 115656.84908311383 468567.1657))",4,1,6,11,6.3999999999999995,115801.18665041123,468567.1657,,,1,3772.7486556281888,False,87.8563555980232,2521.1613055778707,14241.15078156842,2521.1613055778707,False,3759.2600176948604
"POLYGON ((115656.84908311383 468317.1657, 115729.01786676253 468442.1657, 115873.35543405994 468442.1657, 115945.52421770863 468317.1657, 115873.35543405994 468192.1657, 115729.01786676253 468192.1657, 115656.84908311383 468317.1657))",6,3,8,17,10.2,115801.18665041123,468317.16570000007,,,1,3804.690612599744,False,34.05296724210269,2608.474172527495,14019.96720037267,2608.474172527495,False,3804.7004328256917
"POLYGON ((115656.84908311383 468067.1657, 115729.01786676253 468192.1657, 115873.35543405994 468192.1657, 115945.52421770863 468067.1657, 115873.35543405994 467942.1657, 115729.01786676253 467942.1657, 115656.84908311383 468067.1657))",2,5,1,8,5.3,115801.18665041123,468067.16569999995,,,1,3852.062799021424,False,59.49889189894667,2716.067136273194,13798.78361917676,2716.067136273194,False,3852.0715437620242
"POLYGON ((115656.84908311383 459067.1657, 115729.01786676253 459192.1657, 115873.35543405994 459192.1657, 115945.52421770863 459067.1657, 115873.35543405994 458942.1657, 115729.01786676253 458942.1657, 115656.84908311383 459067.1657))",1,5,1,7,4.3,115801.18665041123,459067.1657,,,1,6224.665809790204,False,664.6637680625954,1549.4530586860844,6589.929746185867,1549.4530586860844,False,5104.943589980416
"POLYGON ((115656.84908311383 447817.1657, 115729.01786676253 447942.1657, 115873.35543405994 447942.1657, 115945.52421770863 447817.1657, 115873.35543405994 447692.1657, 115729.01786676253 447692.1657, 115656.84908311383 447817.1657))",1,2,2,5,2.8000000000000003,115801.18665041123,447817.16570000007,,,1,3793.0576916501227,False,418.4872949101215,71.26671298441802,9129.011737842382,71.26671298441802,False,3752.234737653609
"POLYGON ((115656.84908311383 447567.1657, 115729.01786676253 447692.1657, 115873.35543405994 447692.1657, 115945.52421770863 447567.1657, 115873.35543405994 447442.1657, 115729.01786676253 447442.1657, 115656.84908311383 447567.1657))",1,1,1,3,1.9000000000000001,115801.18665041123,447567.16570000007,,,1,3811.0166100643164,False,217.23484098301475,116.89355305947716,9332.77994810035,116.89355305947716,True,3586.979121218152
"POLYGON ((115873.35543405995 470942.1657, 115945.52421770865 471067.1657, 116089.86178500605 471067.1657, 116162.03056865475 470942.1657, 116089.86178500605 470817.1657, 115945.52421770865 470817.1657, 115873.35543405995 470942.1657))",5,1,1,7,5.8999999999999995,116017.69300135734,470942.16570000007,,,1,4049.051633057589,False,45.62964807714864,1198.548840248662,16274.037155183476,1198.548840248662,False,1610.8407766664582
"POLYGON ((115873.35543405995 470692.1657, 115945.52421770865 470817.1657, 116089.86178500605 470817.1657, 116162.03056865475 470692.1657, 116089.86178500605 470567.1657, 115945.52421770865 470567.1657, 115873.35543405995 470692.1657))",6,1,1,8,6.8999999999999995,116017.69300135734,470692.1657,,,1,3933.1944049545905,False,89.23132170809788,1363.668846333849,16052.07211595956,1363.668846333849,False,1794.8781405000238
"POLYGON ((115873.35543405995 470442.1657, 115945.52421770865 470567.1657, 116089.86178500605 470567.1657, 116162.03056865475 470442.1657, 116089.86178500605 470317.1657, 115945.52421770865 470317.1657, 115873.35543405995 470442.1657))",1,1,1,3,1.9000000000000001,116017.69300135734,470442.1657,,,1,3830.171970965024,False,183.1680821750657,1546.1766228857905,15824.30426799126,1546.1766228857905,False,1993.208530983035
"POLYGON ((115873.35543405995 469442.1657, 115945.52421770865 469567.1657, 116089.86178500605 469567.1657, 116162.03056865475 469442.1657, 116089.86178500605 469317.1657, 115945.52421770865 469317.1657, 115873.35543405995 469442.1657))",2,3,2,7,4.3999999999999995,116017.69300135734,469442.1657,,,1,3566.653014685629,False,144.1665566838442,2096.6873564465413,14920.353580460696,2096.6873564465413,False,2867.954399000683
"POLYGON ((115873.35543405995 469192.1657, 115945.52421770865 469317.1657, 116089.86178500605 469317.1657, 116162.03056865475 469192.1657, 116089.86178500605 469067.1657, 115945.52421770865 469067.1657, 115873.35543405995 469192.1657))",2,1,3,6,3.5,116017.69300135734,469192.16570000007,,,1,3542.063357305472,False,200.62357249877078,2156.0684278047997,14696.310330010316,2156.0684278047997,False,3098.4548130492235
"POLYGON ((115873.35543405995 468692.1657, 115945.52421770865 468817.1657, 116089.86178500605 468817.1657, 116162.03056865475 468692.1657, 116089.86178500605 468567.1657, 115945.52421770865 468567.1657, 115873.35543405995 468692.1657))",1,8,6,15,7.6,116017.69300135734,468692.16569999995,,,1,3545.6467713473817,False,98.83660411423155,2277.4187570336576,14250.814363255346,2277.4187570336576,False,3547.688101521473
"POLYGON ((115873.35543405995 468442.1657, 115945.52421770865 468567.1657, 116089.86178500605 468567.1657, 116162.03056865475 468442.1657, 116089.86178500605 468317.1657, 115945.52421770865 468317.1657, 115873.35543405995 468442.1657))",5,2,1,8,6.5,116017.69300135734,468442.16570000007,,,1,3572.2860441255275,False,152.08923727721356,2360.512523772868,14029.443907937613,2360.512523772868,False,3572.2962727626496
"POLYGON ((115873.35543405995 467942.1657, 115945.52421770865 468067.1657, 116089.86178500605 468067.1657, 116162.03056865475 467942.1657, 116089.86178500605 467817.1657, 115945.52421770865 467817.1657, 115873.35543405995 467942.1657))",1,1,2,4,2.2,116017.69300135734,467942.16570000007,,,1,3672.4190775364837,False,23.5758563012682,2591.869158520257,13587.27915565306,2591.869158520257,False,3672.4270244387158
"POLYGON ((115873.35543405995 461442.1657, 115945.52421770865 461567.1657, 116089.86178500605 461567.1657, 116162.03056865475 461442.1657, 116089.86178500605 461317.1657, 115945.52421770865 461317.1657, 115873.35543405995 461442.1657))",2,6,1,9,5.8999999999999995,116017.69300135734,461442.1657000001,,,1,7945.025687829391,False,1382.3671688815725,3018.9109376896586,8067.966657853161,3018.9109376896586,False,6878.799933620594
