geometry
"POLYGON ((169869.566365526 440433.69011467765, 169744.566365526 440650.19646562374, 169494.566365526 440650.19646562374, 169369.566365526 440433.69011467765, 169494.566365526 440217.18376373156, 169744.566365526 440217.18376373156, 169869.566365526 440433.69011467765))"
"POLYGON ((170302.5790674182 440433.69011467765, 170177.5790674182 440650.19646562374, 169927.5790674182 440650.19646562374, 169802.5790674182 440433.69011467765, 169927.5790674182 440217.18376373156, 170177.5790674182 440217.18376373156, 170302.5790674182 440433.69011467765))"
"POLYGON ((170735.59176931044 440433.69011467765, 170610.59176931044 440650.19646562374, 170360.59176931044 440650.19646562374, 170235.59176931044 440433.69011467765, 170360.59176931044 440217.18376373156, 170610.59176931044 440217.18376373156, 170735.59176931044 440433.69011467765))"
"POLYGON ((171168.60447120265 440433.69011467765, 171043.60447120265 440650.19646562374, 170793.60447120265 440650.19646562374, 170668.60447120265 440433.69011467765, 170793.60447120265 440217.18376373156, 171043.60447120265 440217.18376373156, 171168.60447120265 440433.69011467765))"
"POLYGON ((119856.59929697466 440808.69011467765, 119731.59929697466 441025.19646562374, 119481.59929697466 441025.19646562374, 119356.59929697466 440808.69011467765, 119481.59929697466 440592.18376373156, 119731.59929697466 440592.18376373156, 119856.59929697466 440808.69011467765))"
"POLYGON ((120289.61199886688 440808.69011467765, 120164.61199886688 441025.19646562374, 119914.61199886688 441025.19646562374, 119789.61199886688 440808.69011467765, 119914.61199886688 440592.18376373156, 120164.61199886688 440592.18376373156, 120289.61199886688 440808.69011467765))"
"POLYGON ((120722.6247007591 440808.69011467765, 120597.6247007591 441025.19646562374, 120347.6247007591 441025.19646562374, 120222.6247007591 440808.69011467765, 120347.6247007591 440592.18376373156, 120597.6247007591 440592.18376373156, 120722.6247007591 440808.69011467765))"
"POLYGON ((121155.63740265131 440808.69011467765, 121030.63740265131 441025.19646562374, 120780.63740265131 441025.19646562374, 120655.63740265131 440808.69011467765, 120780.63740265131 440592.18376373156, 121030.63740265131 440592.18376373156, 121155.63740265131 440808.69011467765))"
"POLYGON ((121588.65010454353 440808.69011467765, 121463.65010454353 441025.19646562374, 121213.65010454353 441025.19646562374, 121088.65010454353 440808.69011467765, 121213.65010454353 440592.18376373156, 121463.65010454353 440592.18376373156, 121588.65010454353 440808.69011467765))"
"POLYGON ((122021.66280643575 440808.69011467765, 121896.66280643575 441025.19646562374, 121646.66280643575 441025.19646562374, 121521.66280643575 440808.69011467765, 121646.66280643575 440592.18376373156, 121896.66280643575 440592.18376373156, 122021.66280643575 440808.69011467765))"
"POLYGON ((122454.67550832797 440808.69011467765, 122329.67550832797 441025.19646562374, 122079.67550832797 441025.19646562374, 121954.67550832797 440808.69011467765, 122079.67550832797 440592.18376373156, 122329.67550832797 440592.18376373156, 122454.67550832797 440808.69011467765))"
"POLYGON ((122887.68821022019 440808.69011467765, 122762.68821022019 441025.19646562374, 122512.68821022019 441025.19646562374, 122387.68821022019 440808.69011467765, 122512.68821022019 440592.18376373156, 122762.68821022019 440592.18376373156, 122887.68821022019 440808.69011467765))"
"POLYGON ((123320.70091211241 440808.69011467765, 123195.70091211241 441025.19646562374, 122945.70091211241 441025.19646562374, 122820.70091211241 440808.69011467765, 122945.70091211241 440592.18376373156, 123195.70091211241 440592.18376373156, 123320.70091211241 440808.69011467765))"
